"OWC","SCCS.ID","minerva_id","eHRAF.Name","PSF.Cluster","EA.ID","Domain_var","TL1","Domain_name","Domain_num"
"RI03",55,55,"Abkhazians",NA,"Ci12","FM_TL1_avg_final",3.625,"funeral",6
"RI03",55,55,"Abkhazians",NA,"Ci12","Ov_tl_avg",2.96875,"overall",7
"RI03",55,55,"Abkhazians",NA,"Ci12","General_TL5B_avg_final",3.5,"gestalt",8
"MA11",57,57,"Kurds","21","Ci11","General_TL1_avg_final",3,"law",1
"MA11",57,57,"Kurds","21","Ci11","Soc_TL1_avg_final",2.75,"social",2
"MA11",57,57,"Kurds","21","Ci11","Gender_TL1_avg_final",3.25,"gender",3
"MA11",57,57,"Kurds","21","Ci11","Mar_TL1_avg_final",3.25,"marriage",4
"MA11",57,57,"Kurds","21","Ci11","Sex_TL1_avg_final",3.75,"sex",5
"MA11",57,57,"Kurds","21","Ci11","FM_TL1_avg_final",3.25,"funeral",6
"MA11",57,57,"Kurds","21","Ci11","Ov_tl_avg",3.20833333333333,"overall",7
"MA11",57,57,"Kurds","21","Ci11","General_TL5B_avg_final",3.25,"gestalt",8
"MA10",58,58,"Basseri",NA,"Ea06","General_TL1_avg_final",2.125,"law",1
"MA10",58,58,"Basseri",NA,"Ea06","Soc_TL1_avg_final",2.25,"social",2
"MA10",58,58,"Basseri",NA,"Ea06","Gender_TL1_avg_final",2.375,"gender",3
"MA10",58,58,"Basseri",NA,"Ea06","Mar_TL1_avg_final",3.875,"marriage",4
"MA10",58,58,"Basseri",NA,"Ea06","Sex_TL1_avg_final",3.5,"sex",5
"MA10",58,58,"Basseri",NA,"Ea06","FM_TL1_avg_final",2.875,"funeral",6
"MA10",58,58,"Basseri",NA,"Ea06","Ov_tl_avg",2.83333333333333,"overall",7
"MA10",58,58,"Basseri",NA,"Ea06","General_TL5B_avg_final",3,"gestalt",8
"AT03",59,59,"West Punjabi",NA,"Ea13","General_TL1_avg_final",NA,"law",1
